Player,School,Height,Weight,Hand,Arm,Wing,Pos
Blake Fisher,Notre Dame,77.75,310,10,34.375,83,OL
Jeremy Flax,Kentucky,77.5,343,9,33.125,81.875,OL
Javon Foster,Missouri,77.5,313,9.625,34.625,83.375,OL
Taliese Fuaga,Oregon State,77.75,324,10.125,33.125,80.625,OL
Delmar Glaze,Maryland,76.125,315,10.25,34.875,82.75,OL
Matt Goncalves,Pittsburgh,78.25,327,9,33.25,81.25,OL
Tylan Grable,UCF,77.75,306,10.125,33.625,80.625,OL
Garret Greenfield,South Dakota State,77.75,305,9.75,33.5,83.125,OL
Tyler Guyton,Oklahoma,79.75,322,10.25,34.125,82.25,OL
Christian Jones,Texas,77.25,305,10.625,34.5,83.625,OL
JC Latham,Alabama,77.75,342,11,35.125,84.375,OL
Amarius Mims,Georgia,79.75,340,11.25,36.125,86.75,OL
Jordan Morgan,Arizona,77,311,10.875,32.875,81.375,OL
Patrick Paul,Houston,79.5,331,9.375,36.25,86.25,OL
Julian Pearl,Illinois,78,312,10.25,35.125,85.625,OL
Roger Rosengarten,Washington,77.375,308,9.625,33.5,80.375,OL
Walter Rouse,Oklahoma,77.75,313,10.125,35.125,83.08823529411765,OL
Kingsley Suamataia,BYU,76.625,326,10.625,34.25,82.125,OL
Nathan Thomas,Louisiana,77,332,10.75,33.75,83,OL
Caedan Wallace,Penn State,76.875,314,10.75,34,82.625,OL
Isaiah Adams,Illinois,76.25,315,9,33.875,81.875,IOL
Gottlieb Ayedze,Maryland,76.125,308,9.875,33,80.625,IOL
Karsen Barnhart,Michigan,76.5,306,9.875,33.375,81.25,IOL
Graham Barton,Duke,77.375,313,9.375,32.875,79.75,IOL
Cooper Beebe,Kansas State,75.25,322,9.25,31.5,78.125,IOL
Keaton Bills,Utah,76.5,321,10,32.5,79.5,IOL
Tanor Bortolini,Wisconsin,76.25,303,10,31.5,77.625,IOL
Javion Cohen,Miami,76.375,324,9.875,34,80.5,IOL
Brandon Coleman,TCU,76.5,313,10.75,34.625,84,IOL
Kingsley Eguakun,Florida,75.5,304,10.125,32.5,80.25,IOL
Zach Frazier,West Virginia,74.625,313,10.875,32.25,78.5,IOL
X'Zauvea Gadlin,Liberty,75.25,322,10.25,33.25,81.125,IOL
Nick Gargiulo,South Carolina,77.375,318,10.375,33.875,81.25,IOL
C.J. Hanson,Holy Cross,77,300,9.375,32.375,78.375,IOL
Christian Haynes,UConn,74.75,317,9,33.5,79.75,IOL
LaDarius Henderson,Michigan,76.125,309,10.625,35,84.75,IOL
Matthew Jones,Ohio State,75.5,316,9,32.625,80.5,IOL
Trente Jones,Michigan,75.875,305,10.125,33,80,IOL
Trevor Keegan,Michigan,77.375,310,10,32.375,78.375,IOL
Jarrett Kingston,USC,76.25,306,9.75,32.125,78.125,IOL
Brady Latham,Arkansas,77.25,304,9.5,32.75,77.875,IOL
Sataoa Laumea,Utah,76.25,319,9.875,32.875,80.75,IOL
Matt Lee,Miami,75.625,301,9.25,32.125,78.625,IOL
KT Leveston Jr.,Kansas State,75.875,326,9.875,34.375,82.125,IOL
Beaux Limmer,Arkansas,76.625,302,9.5,31.875,77.875,IOL
Christian Mahogany,Boston College,75.375,314,10.5,33.5,81.625,IOL
Mason McCormick,South Dakota State,76.25,309,10,33.875,81.625,IOL
Dylan McMahon,NC State,75.375,299,9.375,31.75,75.125,IOL
Jacob Monk,Duke,75,308,10,32.375,79,IOL
Hunter Nourzad,Penn State,75.125,317,10.75,33.125,79.375,IOL
Drake Nugent,Michigan,73.5,298,9,33,78.25,IOL
Prince Pines,Tulane,76.5,322,9.125,32.875,80.5,IOL
Jackson Powers-Johnson,Oregon,75.375,328,9.875,32.25,78.5,IOL
Dominick Puni,Kansas,77.125,313,10.125,33.375,81.125,IOL
Andrew Raym,Oklahoma,76,314,10,32.5,78.75,IOL
Layden Robinson,Texas A&M,75.5,302,10.5,34.625,81.5,IOL
Nick Samac,Michigan State,76,307,9.75,32.75,79,IOL
Jalen Sundell,North Dakota State,77,301,9.5,33.125,77.875,IOL
Charles Turner III,LSU,75.625,303,9.375,34,83.25,IOL
Sedrick Van Pran-Granger,Georgia,76.125,298,9.5,31.375,78.625,IOL
Zak Zinter,Michigan,77.875,309,9.375,33.5,81.125,IOL
DeWayne Carter,Duke,74.375,302,10.25,33,79.125,DL
Jaden Crumedy,Mississippi State,75.875,301,9.5,33,77.5,DL
Tyler Davis,Clemson,74,301,9.25,31.375,75,DL
Brandon Dorlus,Oregon,75,283,9.375,33.25,80.875,DL
Justin Eboigbe,Alabama,76.375,297,9.75,33.375,80.75,DL
Braden Fiske,Florida State,75.625,292,9.375,31,76.75,DL
Gabe Hall,Baylor,78,291,9.5,34.5,83.625,DL
Michael Hall Jr.,Ohio State,74.75,290,10,33.5,81.125,DL
Marcus Harris,Auburn,74.375,286,9.625,32,78.25,DL
McKinnley Jackson,Texas A&M,73.5,326,10,33.875,80.25,DL
Jordan Jefferson,LSU,74.75,313,9.875,33.125,79.25,DL
Kris Jenkins,Michigan,74.75,299,9.375,34,79.125,DL
Logan Lee,Iowa,77.375,281,10.25,32.25,78.875,DL
Zion Logue,Georgia,77.625,314,10,33.5,80.25,DL
Fabien Lovett Sr.,Florida State,75.875,314,10.375,35.5,83.125,DL
Byron Murphy II,Texas,72.5,297,10.25,32.375,77.125,DL
Myles Murphy,North Carolina,76.125,309,9.75,33.875,79,DL
Jer'Zhan Newton,Illinois,73.625,304,9.5,32.375,75.875,DL
Ruke Orhorhoro,Clemson,76,294,9.375,34,79.5,DL
Keith Randolph Jr.,Illinois,75.5,296,9.875,32.75,80.25,DL
Darius Robinson,Missouri,77.125,285,10.625,34.5,84.375,DL
Justin Rogers,Auburn,74.5,330,10.125,33,79,DL
Maason Smith,LSU,77.125,306,8.5,35,84.625,DL
T'Vondre Sweat,Texas,76.5,366,10.125,33.25,81.25,DL
Leonard Taylor III,Miami,75.5,303,9,33.875,80.625,DL
Mekhi Wingo,LSU,72.25,284,9.25,32,77.875,DL
Austin Booker,Kansas,76.5,240,9.25,33.875,81.375,EDGE
Chris Braswell,Alabama,75.375,251,9.375,33.25,81.375,EDGE
Solomon Byrd,USC,74.875,255,9.75,33.625,79.875,EDGE
Nelson Ceaser,Houston,74.75,254,10.25,33.625,79.625,EDGE
Myles Cole,Texas Tech,78,278,9.875,36.875,86.25,EDGE
Khalid Duke,Kansas State,75.25,246,9.25,32.625,78.375,EDGE
Jonah Elliss,Utah,74.125,248,10.5,33,79.25,EDGE
Jaylen Harrell,Michigan,75.75,250,9.75,33.25,81.125,EDGE
Jalyx Hunt,Houston Christian,75.75,252,10,34.375,82.75,EDGE
Adisa Isaac,Penn State,76.375,247,9.625,33.875,81,EDGE
Brennan Jackson,Washington State,75.875,264,9.75,32.75,78.75,EDGE
Javontae Jean-Baptiste,Notre Dame,76.625,239,10,33.75,80.5,EDGE
Trajan Jeffcoat,Arkansas,75.875,266,10.125,32.75,79.5,EDGE
Cedric Johnson,Ole Miss,75,260,9.875,33.5,79.375,EDGE
Mohamed Kamara,Colorado State,73.375,248,8.625,32.375,78.5,EDGE
Marshawn Kneeland,Western Michigan,75,267,9.125,34.5,83.375,EDGE
Laiatu Latu,UCLA,76.75,259,9.625,32.625,78.25,EDGE
Braiden McGregor,Michigan,77.25,257,10,33.125,80.25,EDGE
Gabriel Murphy,UCLA,74.375,247,9.25,30.5,75,EDGE
Eyabi Okie-Anoma,Charlotte,76.5,260,9.5,33.5,79.375,EDGE
Chop Robinson,Penn State,74.875,254,9.125,32.5,76.25,EDGE
Javon Solomon,Troy,72.875,246,10.75,33.875,80.25,EDGE
Xavier Thomas,Clemson,74.25,244,9.125,32.875,78.25,EDGE
Bralen Trice,Washington,75.5,245,9,32.5,77.625,EDGE
Dallas Turner,Alabama,74.75,247,9.875,34.375,83,EDGE
David Ugwoegbu,Houston,75.875,250,10.25,33.75,80.375,EDGE
Jared Verse,Florida State,75.875,254,9.875,33.5,79.5,EDGE
Eric Watts,UConn,77.625,274,9.75,35.75,84.375,EDGE
Michael Barrett,Michigan,71.375,233,8.5,32.125,78,LB
JD Bertrand,Notre Dame,72.875,235,9.75,30.625,74.875,LB
Tatum Bethune,Florida State,71.5,229,10,32.375,78.25,LB
Aaron Casey,Indiana,72.875,231,9.375,32.75,77.875,LB
Steele Chambers,Ohio State,72.75,226,9.25,30.5,73.625,LB
Junior Colson,Michigan,74.25,238,9.375,32.5,77.5,LB
Edgerrin Cooper,Texas A&M,74.125,230,9.75,34,80.25,LB
Kalen DeLoach,Florida State,71.5,210,8.625,31.5,74.875,LB
Tommy Eichenberg,Ohio State,74.375,233,9.25,31.625,77.125,LB
Jaylan Ford,Texas,74.375,240,9.5,31.75,74.375,LB
Easton Gibbs,Wyoming,72.375,232,9.25,30.375,72.5,LB
Cedric Gray,North Carolina,73.5,234,9,32.5,78.375,LB
Ty'Ron Hopper,Missouri,73.75,231,8.875,31.375,77.75,LB
Jontrey Hunter,Georgia State,73.875,236,9,31.75,76.875,LB
Curtis Jacobs,Penn State,73.375,241,10.25,31.5,77.75,LB
Tyrice Knight,UTEP,72.5,233,9.25,32.5,80.375,LB
Marist Liufau,Notre Dame,74.125,234,9.875,34.25,79.375,LB
Jordan Magee,Temple,73.375,228,8.75,32,76,LB
Darius Muasau,UCLA,71.875,225,9.5,31.5,74.75,LB
Maema Njongmeta,Wisconsin,71.75,229,9.375,32.875,78.25,LB
Jeremiah Trotter Jr.,Clemson,72,228,9.25,31.5,74.75,LB
Edefuan Ulofoshio,Washington,72.5,236,9.25,32.875,79.625,LB
Trevin Wallace,Kentucky,73.125,237,9.125,32.625,79.125,LB
Nathaniel Watson,Mississippi State,74.25,233,9.875,32.875,81,LB
Payton Wilson,NC State,75.875,233,9,30.5,75.75,LB
Kris Abrams-Draine,Missouri,71.375,179,8.625,31,74.625,CB
Terrion Arnold,Alabama,71.75,189,8.875,31.625,76.25,CB
Jarvis Brownlee Jr.,Louisville,70.375,194,9,31.25,75.25,CB
Caelen Carson,Wake Forest,71.875,199,8.25,31.375,75.625,CB
Ryan Cooper Jr.,Oregon State,71.25,184,8.75,30.5,71.625,CB
Cooper DeJean,Iowa,72.5,203,9.625,31.125,74.875,CB
M.J. Devonshire,Pittsburgh,70.75,186,8.75,32.875,78.75,CB
Marcellas Dial,South Carolina,71.75,190,8.875,32,77.625,CB
Johnny Dixon,Penn State,70.75,188,8.625,29.5,72,CB
Willie Drew,Virginia State,71.625,191,9.5,32,75.625,CB
Renardo Green,Florida State,71.875,186,9.125,31.25,74.75,CB
Kamal Hadden,Tennessee,73,196,8.5,30.875,74.125,CB
Myles Harden,South Dakota,70.875,195,9.375,29.875,74,CB
Daequan Hardy,Penn State,69.375,179,8.125,30,70.875,CB
Cam Hart,Notre Dame,75,202,9.375,33,78.875,CB
Khyree Jackson,Oregon,75.75,194,9.25,32.75,78,CB
DJ James,Auburn,71.625,175,8.375,31,72.375,CB
Carlton Johnson,Fresno State,70.625,173,8,30.375,73.125,CB
Isaiah Johnson,Syracuse,75,205,8.875,32.875,80.5,CB
Elijah Jones,Boston College,73.5,185,9.25,31.5,76,CB
Jarrian Jones,Florida State,71.875,190,8.625,30,73.25,CB
Kalen King,Penn State,71.25,191,8.75,30.875,74.25,CB
Kamari Lassiter,Georgia,71.5,186,8.875,30.875,73.75,CB
Dwight McGlothern,Arkansas,73.625,185,8.625,30.5,74.875,CB
Kool-Aid McKinstry,Alabama,71.5,199,8.5,32,75.875,CB
Max Melton,Rutgers,71,187,9.125,32.125,76.625,CB
Quinyon Mitchell,Toledo,72.125,195,9.25,31,75.75,CB
Josh Newton,TCU,70.625,190,9.25,31.125,74.25,CB
Andru Phillips,Kentucky,70.75,190,8.75,31.25,75,CB
Deantre Prince,Ole Miss,72,183,8.5,30.75,73.75,CB
Nehemiah Pritchett,Auburn,72.125,190,8.375,31.625,75,CB
Ennis Rakestraw Jr.,Missouri,71.375,183,8.5,32,75.625,CB
Decamerion Richardson,Mississippi State,74.25,188,8.875,32.375,77.875,CB
Christian Roland-Wallace,USC,71.5,201,9,32.5,77,CB
Mike Sainristil,Michigan,69.375,182,8.5,30.875,74.5,CB
Chau Smith-Wade,Washington State,69.75,184,9.125,30.25,72.375,CB
Tarheeb Still,Maryland,71.625,189,9.125,29.625,73.125,CB
T.J. Tampa,Iowa State,72.875,189,9.625,32.125,78.625,CB
Ro Torrence,Arizona State,74.875,208,8.5,34.125,80.25,CB
Josh Wallace,Michigan,71.125,185,8.875,31.375,75.625,CB
Ryan Watts,Texas,74.875,208,9.375,34.5,81.75,CB
Nate Wiggins,Clemson,73.375,173,9,30.5,74.25,CB
Daijahn Anthony,Ole Miss,72,195,9,32.5,76.375,S
Cole Bishop,Utah,74,206,9.5,29.75,73,S
Beau Brade,Maryland,72,203,10.125,31,77,S
Millard Bradford,TCU,70.5,191,9,31.25,72.5,S
Javon Bullard,Georgia,70.5,198,9,30.75,73.875,S
Calen Bullock,USC,74,188,9,32.5,78.125,S
Jaylon Carlies,Missouri,74.75,227,10,34.25,80.625,S
Dominique Hampton,Washington,74.375,215,10,33.25,79.875,S
Jaden Hicks,Washington State,73.875,211,9.375,31.5,76.25,S
Jaylen Key,Alabama,72.75,208,9.625,32.25,78.5,S
Kamren Kinchens,Miami,71.25,203,9.75,31.25,75,S
Patrick McMorris,California,72.125,207,9.75,31.875,77.125,S
Malik Mustapha,Wake Forest,70.125,209,9,30.125,72.5,S
Tyler Nubin,Minnesota,73.25,199,9,32,77.5,S
Kitan Oladapo,Oregon State,74,216,9.25,32.375,76.875,S
Tyler Owens,Texas Tech,74.375,216,9.125,33.375,79.125,S
Josh Proctor,Ohio State,73.5,199,8.75,32,78,S
Demani Richardson,Texas A&M,72.5,210,9.875,32,77.125,S
Andre' Sam,LSU,70.875,191,9.25,30,73.375,S
Jaylin Simpson,Auburn,71.625,179,9.875,32.375,76.625,S
Tykee Smith,Georgia,70,202,9.25,31.625,74.75,S
Dadrion Taylor-Demerson,Texas Tech,70.375,197,9.625,30.875,74.25,S
Sione Vaki,Utah,71.125,210,8.625,29.125,72.125,S
Evan Williams,Oregon,71.25,200,10.125,30.125,72.875,S
James Williams,Miami,76.25,231,9.5,33.625,80.25,S
