Player,School,Height,Weight,Hand,Arm,Wing,Pos
Ben Brown,Ole Miss,77.125,312,10.25,34.375,81.75,IOL
Logan Bruss,Wisconsin,77,309,10.75,33.125,79.75,IOL
Spencer Burford,UTSA,76.125,304,9.5,34.75,82,IOL
Ja'Tyre Carter,Southern,75.375,311,10.25,33.625,79.5,IOL
Dawson Deaton,Texas Tech,77.5,306,9.625,32.875,79.5,IOL
William Dunkle,San Diego State,76.875,328,10.25,33.625,80.75,IOL
Joshua Ezeudu,North Carolina,76.25,308,9.5,34,82.25,IOL
Luke Fortner,Kentucky,76.125,307,10,33.125,80.375,IOL
Luke Goedeke,Central Michigan,77,312,9.75,32.25,79.875,IOL
Kenyon Green,Texas A&M,75.875,323,10.375,34.125,83.375,IOL
Marquis Hayes,Oklahoma,76.875,318,8.875,34.875,83.5,IOL
Chasen Hines,LSU,74.75,327,9.875,33.875,81.375,IOL
Ed Ingram,LSU,75.25,307,10,33.625,81.875,IOL
Zion Johnson,Boston College,74.625,312,10.625,34,82.375,IOL
Cam Jurgens,Nebraska,74.875,303,10,33.375,80.125,IOL
Darian Kinnard,Kentucky,77.375,322,11.25,35,83.25,IOL
Tyler Linderbaum,Iowa,74.125,296,10,31.125,75.625,IOL
Alex Lindstrom,Boston College,75.375,296,9.25,32.625,76,IOL
Cade Mays,Tennessee,76.75,311,10,34.125,82.25,IOL
Marcus McKethan,North Carolina,78.5,340,10.5,35.5,85.875,IOL
Dylan Parham,Memphis,74.625,311,10.25,33.125,78.875,IOL
Chris Paul,Tulsa,75.875,323,9.375,33.625,81.625,IOL
Sean Rhyan,UCLA,76.625,321,11.125,32.375,79.25,IOL
Tyrese Robinson,Oklahoma,74.875,317,9.75,33.125,78.75,IOL
Jamaree Salyer,Georgia,75,321,10,33.625,80.25,IOL
Justin Shaffer,Georgia,75.875,314,10,33.25,80.625,IOL
Lecitus Smith,Virginia Tech,75.25,314,9.625,31.875,78.75,IOL
Cole Strange,UT-Chattanooga,76.875,307,10.125,33,79.75,IOL
Zach Tom,Wake Forest,76.25,304,10.375,33.25,80.375,IOL
Cordell Volson,North Dakota State,78.125,315,10.5,33.875,81.125,IOL
Luke Wattenberg,Washington,76,299,9.375,34.125,81.875,IOL
Dohnovan West,Arizona State,75.25,296,9.5,33,78,IOL
Thomas Booker,Stanford,75.375,301,10.625,33.25,79.875,DL
Matthew Butler,Tennessee,75.875,297,9.25,33.5,81.625,DL
Zachary Carter,Florida,76.25,282,10.25,33.5,80.375,DL
DJ Davidson,Arizona State,75.375,327,10.125,33,80.625,DL
Jordan Davis,Georgia,78.375,341,10.75,34,81.125,DL
Kalia Davis,UCF,73,302,9.5,33.625,80,DL
Noah Elliss,Idaho,76.25,346,10.375,32.25,78.375,DL
Neil Farrell Jr.,LSU,76.125,330,10.125,32.25,77.375,DL
Jonathan Ford,Miami,77.125,333,9.25,32.75,79.625,DL
Haskell Garrett,Ohio State,74.125,300,9.875,31.625,78.125,DL
Logan Hall,Houston,78.125,283,9.625,32.75,79.125,DL
Christopher Hinton,Michigan,75.625,305,10.5,32.375,78.125,DL
Jordan Jackson,Air Force,76.5,294,9.375,33.75,81.5,DL
Travis Jones,UConn,76.375,325,10.25,34.25,81.5,DL
DeMarvin Leal,Texas A&M,75.875,283,9.5,33.25,80.375,DL
Phidarian Mathis,Alabama,76.25,310,10.375,34.625,83.875,DL
Marquan McCall,Kentucky,74.625,342,11,33.25,80.875,DL
Otito Ogbonnia,UCLA,75.75,324,10,34.375,83.625,DL
Jayden Peevy,Texas A&M,77.375,308,10.5,35.5,85.375,DL
John Ridgeway III,Arkansas,77.125,321,10,33.375,81.375,DL
Eyioma Uwazurike,Iowa State,78.125,316,10.125,35.125,84.75,DL
Perrion Winfrey,Oklahoma,75.625,290,10.25,35.25,84.75,DL
Devonte Wyatt,Georgia,74.875,304,9.875,32.625,78.25,DL
Amare Barno,Virginia Tech,76.625,246,9,34,80.625,EDGE
Nik Bonitto,Oklahoma,75,248,9.375,32.5,78.75,EDGE
Micheal Clemons,Texas A&M,77.25,263,10,34.875,83.125,EDGE
Arnold Ebiketie,Penn State,74.375,250,10.25,34.125,81.75,EDGE
Kingsley Enagbare,South Carolina,75.75,258,10.625,34.75,83,EDGE
Jeffrey Gunter,Coastal Carolina,76.375,258,9.25,33,79.875,EDGE
Aidan Hutchinson,Michigan,78.625,260,10.25,32.125,78.125,EDGE
Drake Jackson,USC,74.625,254,10.125,34,82.625,EDGE
Jermaine Johnson II,Florida State,76.625,254,9.875,34,81.625,EDGE
Tyree Johnson,Texas A&M,74.5,248,9.75,30.875,76.25,EDGE
George Karlaftis,Purdue,75.75,266,10.25,32.625,78.875,EDGE
Jesse Luketa,Penn State,74.875,253,10.375,32.625,78.75,EDGE
Boye Mafe,Minnesota,75.75,261,9.875,32.625,80.75,EDGE
DeAngelo Malone,Western Kentucky,75.25,243,9.875,33.125,79.375,EDGE
David Ojabo,Michigan,76,250,9,33.5,80.75,EDGE
Esezi Otomewo,Minnesota,77.25,282,9,34.5,81.375,EDGE
Josh Paschal,Kentucky,74.625,268,9.625,32.75,79,EDGE
LaBryan Ray,Alabama,76.25,283,8.5,32.625,79.25,EDGE
Dominique Robinson,Miami (OH),76.875,253,9.75,33.25,81.875,EDGE
Myjai Sanders,Cincinnati,77.25,228,9.25,32.625,79.875,EDGE
Tyreke Smith,Ohio State,75.375,254,10.25,33.25,80.5,EDGE
Myron Tagovailoa-Amosa,Notre Dame,74.25,270,9.625,32.625,78.875,EDGE
Kayvon Thibodeaux,Oregon,76,254,9.75,33.125,79.5,EDGE
Cameron Thomas,San Diego State,76.125,267,10.25,32.5,78.875,EDGE
Isaiah Thomas,Oklahoma,76.875,266,10.25,33.25,79.75,EDGE
Travon Walker,Georgia,77,272,10.75,35.5,84.25,EDGE
Sam Williams,Ole Miss,75.625,261,9.875,33.125,80.25,EDGE
Tre Williams,Arkansas,76.125,253,10,33.75,80.75,EDGE
Alex Wright,UAB,77.125,271,9.25,34,82.875,EDGE
Christopher Allen,Alabama,75.5,241,10,33,80.25,LB
Troy Andersen,Montana State,75.5,243,9.25,32.125,77.375,LB
Brian Asamoah,Oklahoma,72.25,226,10,32.625,79,LB
Darrian Beavers,Cincinnati,75.75,237,9.75,32.375,80.625,LB
Terrel Bernard,Baylor,72.875,224,9.625,30.25,73,LB
Darien Butler,Arizona State,70.125,221,9.375,30.125,74.25,LB
Chance Campbell,Ole Miss,74.375,232,10.125,31.25,74.125,LB
Leo Chenal,Wisconsin,74.625,250,9.75,31,75.5,LB
Damone Clark,LSU,74.5,239,9.75,33,78.5,LB
Nakobe Dean,Georgia,71.25,229,9.125,31.875,76.125,LB
JoJo Domann,Nebraska,73.25,228,9.5,30.375,74.5,LB
Jeremiah Gemmel,North Carolina,72.75,226,9.25,31.25,76.625,LB
Isaiah Graham-Mobley,Boston College,73,230,9.25,32,76.375,LB
Jake Hansen,Illinois,72.875,238,9.75,32.375,77.625,LB
Aaron Hansford,Texas A&M,74.25,239,10.125,32.375,77.625,LB
Christian Harris,Alabama,72.5,226,9.625,32.125,76.75,LB
D'Marco Jackson,Appalachian State,72.75,233,9.25,32.5,77.875,LB
Nate Landman,Colorado,74.5,238,9.375,30.5,76,LB
Devin Lloyd,Utah,74.75,237,9.5,33,80.25,LB
Zakoby McClain,Auburn,71.375,228,9.25,31.75,75.25,LB
Micah McFadden,Indiana,73.125,240,9.5,31.25,74.75,LB
Jeremiah Moon,Florida,76.75,249,10.125,35,83.625,LB
Chad Muma,Wyoming,74.75,239,10,31.625,75.75,LB
Malcolm Rodriguez,Oklahoma State,71,232,9.625,30.125,73.125,LB
Mike Rose,Iowa State,75.875,245,10.125,33.25,78.75,LB
Josh Ross,Michigan,72.375,227,9.75,30.5,74.25,LB
Jack Sanborn,Wisconsin,73.625,234,9.625,30.5,74.125,LB
Nephi Sewell,Utah,71.5,226,8.5,29.375,71,LB
Brandon Smith,Penn State,75.5,250,10.25,34.625,81.5,LB
Baylon Spector,Clemson,73.125,233,10,31.5,75.625,LB
Channing Tindall,Georgia,73.875,230,10.625,32.875,77.125,LB
Quay Walker,Georgia,75.75,241,9.25,32.625,79.875,LB
Jalyn Armour-Davis,Alabama,72.625,197,9.25,30.875,74.5,CB
Kalon Barnes,Baylor,71.5,183,9.875,31.75,76.75,CB
Andrew Booth Jr.,Clemson,72.25,194,9.375,31.5,76.875,CB
Montaric Brown,Arkansas,72.375,196,9.5,31.25,76,CB
Coby Bryant,Cincinnati,73.375,193,9.375,30.625,73.625,CB
Tariq Castro-Fields,Penn State,72.625,197,8.75,30.75,76,CB
Decobie Durant,South Carolina State,69.625,180,8.75,30.75,72.75,CB
Kaiir Elam,Florida,73.5,191,8.875,30.875,76.5,CB
Martin Emerson Jr.,Mississippi State,73.625,201,10.125,33.5,79.5,CB
Akayleb Evans,Missouri,74,197,8.75,32,74.75,CB
DaMarcus Fields,Texas Tech,71.625,193,9.125,31.25,75.375,CB
Cordale Flott,LSU,72.5,175,8,30.125,73.875,CB
Ahmad Gardner,Cincinnati,74.75,190,9.625,33.5,79.375,CB
Mario Goodrich,Clemson,72.25,176,9.125,30.625,74.625,CB
Kyler Gordon,Washington,71.5,194,9.25,31,74.75,CB
Vincent Gray,Michigan,74.25,192,9.25,32.375,76.375,CB
Josh Jobe,Alabama,71.5,182,9.25,32.625,76.375,CB
Jack Jones,Arizona State,70.75,171,8.875,30.75,74,CB
Derion Kendrick,Georgia,71.875,194,9.125,31,74.375,CB
Chase Lucas,Arizona State,71.25,180,9.25,31.875,74.5,CB
Damarri Mathis,Pittsburgh,71,196,8.25,31.875,77.5,CB
