#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group
EDGE,"Smith, Jordan",6056,255,33 3/8,9 1/4,NA,NA,Defensive_Line
EDGE,"Snowden, Charles",6063,243,34,9 1/2,NA,NA,Defensive_Line
EDGE,"Toney, Shaka",6024,242,33,9 1/2,39,"10'08""",Defensive_Line
EDGE,"Tryon, Joe",6050,259,34,10 1/4,35,"09'08""",Defensive_Line
EDGE,"Turner, Payton",6051,270,35,10 1/4,NA,NA,Defensive_Line
EDGE,"Weaver, Rashad",6043,259,33 1/4,9 3/4,32,"09'06""",Defensive_Line
DT,"Barmore, Christian",6041,310,33 5/8,10,NA,NA,Defensive_Line
DT,"Bohanna, Quinton",6040,327,34,10 7/8,29,"08'03""",Defensive_Line
DT,"Brown III, Bobby",6040,321,34 3/4,10 1/2,33,"09'05""",Defensive_Line
DT,"Faoliu, Austin",6031,287,32 3/4,9 3/4,NA,NA,Defensive_Line
DT,"Graham, TaQuon",6031,292,35,10 5/8,32 1/2,"09'05""",Defensive_Line
DT,"Jones, Naquan",6033,313,33,9 7/8,25,"08'04""",Defensive_Line
DT,"McNeill, Alim",6017,317,32 5/8,9 3/8,30 1/2,"09'00""",Defensive_Line
DT,"Merrill, Forrest",6000,322,32,9 1/4,26 1/2,"08'05""",Defensive_Line
DT,"Nixon, Daviyon",6031,313,35 1/8,9 1/4,28 1/2,"08'10""",Defensive_Line
DT,"Onwuzurike, Levi",6027,290,33,10 1/8,30,"09'01""",Defensive_Line
DT,"Shelvin, Tyler",6021,350,33 5/8,10 1/4,28 1/2,"08'01""",Defensive_Line
DT,"Slaton, Tedarrell",6040,330,32 5/8,9 1/8,29,"09'01""",Defensive_Line
DT,"Spencer, Marquiss",6035,301,33 1/8,9 1/2,31 1/2,"09'03""",Defensive_Line
DT,"Stills, Darius",6004,278,32 1/4,8 7/8,32 1/2,"09'02""",Defensive_Line
DT,"Togiai, Tommy",6014,296,31 3/4,8 7/8,32,"08'09""",Defensive_Line
DT,"Tonga, Khyiris",6021,325,31,9 5/8,28,"08'09""",Defensive_Line
DT,"Tufele, Jay",6021,305,32 1/2,9 3/8,30,"08'09""",Defensive_Line
DT,"Tuipulotu, Marlon",6017,317,33,10 3/8,30 1/2,"08'07""",Defensive_Line
DT,"Twyman, Jaylen",6016,301,32 1/8,10,32 1/2,"08'08""",Defensive_Line
DT,"Williams, Milton",6030,284,31 1/2,9 3/4,38 1/2,"10'01""",Defensive_Line
DT,"Wilson, Marvin",6037,303,33 3/8,10 1/8,25 1/2,"08'11""",Defensive_Line
ILB,"Barnes, Derrick",6003,238,33 3/8,9 3/4,37,"09'11""",Linebacker
ILB,"Bolton, Nick",5111,237,31 7/8,10 3/8,32,"09'07""",Linebacker
ILB,"Borland, Tuf",6002,229,31 3/8,10,32 1/2,"09'01""",Linebacker
ILB,"Britt, K.J.",6004,235,31,9 3/8,32 1/2,"09'10""",Linebacker
ILB,"Browning, Baron",6026,245,33 1/2,10,40,"10'10""",Linebacker
OLB,"Collins, Zaven",6047,259,33 5/8,9 3/8,35,"10'02""",Linebacker
OLB,"Cox, Jabril",6032,232,32 3/4,9,NA,NA,Linebacker
ILB,"Davis, Jamin",6034,234,33,9 1/2,42,"11'00""",Linebacker
ILB,"Fields II, Tony",6002,222,31 1/4,9,34,"09'06""",Linebacker
ILB,"Fisher, Paddy",6032,240,33 1/8,9 5/8,31 1/2,"09'02""",Linebacker
OLB,"Hilliard, Justin",6004,229,31 3/8,9,34 1/2,"09'08""",Linebacker
OLB,"Hines III, Anthony",6022,225,32 3/4,9 3/8,33,"09'10""",Linebacker
ILB,"Johnson, Buddy",6004,229,31 1/2,9 7/8,38 1/2,"10'08""",Linebacker
ILB,"Jones, Ernest",6014,230,33 3/8,10 3/8,38 1/2,"10'06""",Linebacker
OLB,"McDuffie, Isaiah",6012,227,30 1/4,9 5/8,32 1/2,"10'01""",Linebacker
ILB,"McGrone, Cameron",6007,234,32 1/8,9 1/4,NA,NA,Linebacker
ILB,"Moses, Dylan",6016,235,31 7/8,9 1/4,NA,NA,Linebacker
ILB,"Ogbongbemiga, Amen",6007,231,32 3/4,9 3/8,32,"09'04""",Linebacker
OLB,"Owusu-Koramoah, Jeremiah",6014,221,33,8 7/8,36 1/2,"10'04""",Linebacker
OLB,"Parsons, Micah",6031,246,31 1/2,11,34,"10'06""",Linebacker
ILB,"Rice, Monty",6003,233,30 3/4,8 5/8,32,"10'01""",Linebacker
OLB,"Stevens, JaCoby",6011,212,31 3/4,9 1/4,42,"10'10""",Linebacker
OLB,"Stuard, Grant",5112,230,29 1/2,9 3/8,NA,NA,Linebacker
ILB,"Surratt, Chazz",6021,229,30 1/4,9 5/8,31 1/2,NA,Linebacker
ILB,"Thompson, Erroll",6004,239,32 7/8,9 7/8,30 1/2,"09'06""",Linebacker
OLB,"Wallow, Garret",6015,220,30 7/8,9 1/2,32 1/2,"10'02""",Linebacker
OLB,"Werner, Pete",6027,238,33 1/4,9,39 1/2,"10'02""",Linebacker
CB,"Adebo, Paulson",6010,198,31 1/2,10,36 1/2,"10'01""",Defensive_Back
CB,"Brown, Shakur",5096,185,30,8 5/8,35 1/2,"09'08""",Defensive_Back
CB,"Brown, Tre",5096,185,30 3/8,9 1/2,38,"10'03""",Defensive_Back
CB,"Burns, Lorenzo",5103,183,30 1/4,8 5/8,33 1/2,"10'03""",Defensive_Back
CB,"Bynum, Camryn",6002,196,30 3/4,9 5/8,34,"10'09""",Defensive_Back
CB,"Campbell, Tyson",6010,193,32,9,34 1/2,"10'04""",Defensive_Back
CB,"Daniel, DJ",5116,195,33 3/8,9 1/8,31,"09'11""",Defensive_Back
CB,"Echols, Brandin",5101,179,30 1/4,9 1/8,42 1/2,"11'04""",Defensive_Back
CB,"Farley, Caleb",6010,207,33 3/8,8 3/4,NA,NA,Defensive_Back
CB,"Gilbert, Mark",6001,186,31 1/4,8 3/4,36,"10'10""",Defensive_Back
CB,"Graham Jr., Thomas",5103,192,31,8 7/8,34 1/2,"10'01""",Defensive_Back
CB,"Griffin, Olaijah",5113,176,31 7/8,8 3/4,34,"09'11""",Defensive_Back
CB,"Hall, Darren",5112,188,30 5/8,8 7/8,38 1/2,"11'00""",Defensive_Back
CB,"Horn, Jaycee",6006,205,33,9 1/8,41 1/2,"11'01""",Defensive_Back
CB,"Joseph, Kelvin",5114,197,31 7/8,9 1/4,35,"10'08""",Defensive_Back
CB,"Lenoir, Deommodore",5102,199,30 5/8,9 3/4,34 1/2,"10'01""",Defensive_Back
CB,"McPhearson, Zech",5105,196,31 1/2,9,NA,NA,Defensive_Back
CB,"Melifonwu, Ifeatu",6024,205,32 1/8,9,41 1/2,"11'02""",Defensive_Back
CB,"Mills, Bryan",6011,174,32,9,37,"10'04""",Defensive_Back
CB,"Molden, Elijah",5094,192,29 1/2,9 1/2,36 1/2,"10'05""",Defensive_Back
CB,"Mukuamu, Israel",6041,212,34,9 3/8,36 1/2,"09'11""",Defensive_Back
CB,"Newsome II, Greg",6002,192,31 1/8,8 7/8,40,"10'03""",Defensive_Back
CB,"Phillips, Antonio",5116,186,32 1/2,9 3/8,NA,NA,Defensive_Back
CB,"Robinson, Aaron",5114,186,30 1/4,8 3/4,37,"10'03""",Defensive_Back
CB,"Rochell, Robert",5116,193,32 3/8,8 3/4,43,"11'01""",Defensive_Back
CB,"Samuel Jr., Asante",5101,180,30 1/8,8 7/8,35,"10'04""",Defensive_Back
CB,"St-Juste, Benjamin",6032,202,32 5/8,9 3/8,34 1/2,"09'11""",Defensive_Back
CB,"Stephens, Brandon",6001,213,32,9 3/4,38,"10'07""",Defensive_Back
CB,"Stokes, Eric",6005,194,32 3/4,9 1/8,38 1/2,"10'08""",Defensive_Back
CB,"Surtain II, Patrick",6020,208,32 1/2,10,39,"10'11""",Defensive_Back
CB,"Taylor, Keith",6022,187,31 1/8,9 1/2,33 1/2,"10'07""",Defensive_Back
CB,"Thomas, Ambry",5117,191,32 1/4,8 5/8,38,"10'02""",Defensive_Back
CB,"Thompson, Bryce",5105,182,30 3/4,9 1/4,34,"10'00""",Defensive_Back
CB,"Vincent Jr., Kary",5096,185,30 1/4,8 7/8,35 1/2,"09'09""",Defensive_Back
CB,"Wade, Shaun",6005,196,33 1/2,9 1/4,NA,NA,Defensive_Back
CB,"Washington, ArDarius",5082,176,29 1/4,9 1/2,37 1/2,"10'07""",Defensive_Back
CB,"Webb, Mark",6014,207,32 5/8,10 1/8,36 1/2,"11'04""",Defensive_Back
CB,"Wilcox, Chris",6015,198,31 5/8,9 7/8,37 1/2,"10'06""",Defensive_Back
CB,"Wildgoose, Rachad",5112,197,31 1/8,9 3/8,36,"10'00""",Defensive_Back
CB,"Williams, Rodarius",5116,189,31 1/2,9 1/4,36 1/2,"10'03""",Defensive_Back
CB,"Williams, Trill",6003,208,31 1/8,9,36,"10'03""",Defensive_Back
CB,"Wilson, Marco",5115,191,30 3/4,9 5/8,43 1/2,"11'04""",Defensive_Back
CB,"Wright, Nahshon",6042,183,32 7/8,9 1/8,31,"10'06""",Defensive_Back
FS,"Bledsoe, Joshuah",5113,204,30 3/4,9 5/8,NA,NA,Defensive_Back
SS,"Breeze, Brady",5116,197,30 1/2,9 1/2,38,"10'00""",Defensive_Back
FS,"Carter II, Michael",5095,184,29 1/8,9 1/2,35 1/2,NA,Defensive_Back
FS,"Cisco, Andre",6005,216,32 1/2,10 5/8,NA,NA,Defensive_Back
FS,"Crosswell, Aashari",6002,205,NA,NA,NA,NA,Defensive_Back
SS,"Davis, Shawn",5105,202,31 7/8,9 1/2,39 1/2,"10'08""",Defensive_Back
SS,"Deablo, Divine",6032,226,33,9 1/2,34,"10'06""",Defensive_Back
SS,"Ford, Paris",6005,197,32 3/8,9 1/2,28 1/2,"09'02""",Defensive_Back
SS,"Forrest, Darrick",5114,206,32,9 3/4,39,"11'00""",Defensive_Back
SS,"Gillespie, Tyree",5116,207,31 1/4,9 5/8,35 1/2,"09'00""",Defensive_Back
FS,"Grant, Richie",5115,197,32 5/8,9 3/8,34 1/2,"10'09""",Defensive_Back
FS,"Hamlin, Damar",6007,200,32 1/4,9 1/8,35,"09'10""",Defensive_Back
FS,"Holland, Jevon",6005,207,31 1/2,9 1/8,35 1/2,"10'06""",Defensive_Back
SS,"Hufanga, Talanoa",6003,199,32,9 7/8,35 1/2,"10'08""",Defensive_Back
FS,"Johnson, Jamar",5117,205,30 1/8,9 1/4,35,"10'02""",Defensive_Back
SS,"LeCounte, Richard",5014,196,31 5/8,9,32 1/2,"10'08""",Defensive_Back
FS,"Moehrig, Trevon",6005,202,30 5/8,9 3/4,33,NA,Defensive_Back
SS,"Nasirildeen, Hamsah",6032,215,34 1/4,10,32,NA,Defensive_Back
FS,"Norwood, Tre",5115,192,29 3/8,9 3/8,33 1/2,"10'03""",Defensive_Back
SS,"Sherwood, Jamien",6016,216,34,10,36,"10'03""",Defensive_Back
FS,"Sterns, Caden",5117,202,32 1/8,9 1/2,42,"10'08""",Defensive_Back
SS,"Uphoff, Christian",6020,209,30 3/4,10,33,"10'00""",Defensive_Back
FS,"Wiggins, James",5112,209,29,9 3/4,38,"10'07""",Defensive_Back
K,"Borregales, Jose",5100,206,29,9 1/2,NA,NA,Special_Teams
P,"Chrisman, Drue",6026,209,33 1/8,9 1/2,NA,NA,Special_Teams
P,"Duffy, Max",6006,196,29 5/8,8 7/8,NA,NA,Special_Teams
LS,"Fletcher, Thomas",6006,236,31 1/2,9 5/8,33 1/2,"09'01""",Special_Teams
P,"Harvin III, Pressley",5111,263,32 1/8,9 3/8,NA,NA,Special_Teams
K,"Haubeil, Blake",6036,233,32 3/8,8 7/8,NA,NA,Special_Teams
K,"McPherson, Evan",5110,185,29,9 1/8,NA,NA,Special_Teams
K,"Patterson, Riley",5102,181,30 1/2,8 3/8,NA,NA,Special_Teams
P,"Smith, James",6046,231,32 5/8,8 7/8,NA,NA,Special_Teams
"Coan, Jack",6032,218,31 1/8,9 1/2,33.0,"9'7""",QB,NA
"Corral, Matt",6015,212,30 3/4,9 5/8,NA,NA,QB,NA
"Crum, Dustin",6010,210,31 3/4,9 3/8,32.5,NA,QB,NA
"Eleby, Kaleb",6006,210,30 5/8,9 1/4,25.5,"9'3""",QB,NA
"Howell, Sam",6005,218,30 3/4,9 1/8,NA,NA,QB,NA
"Kelley, Cole",6073,249,33 3/4,9 7/8,NA,NA,QB,NA
"King, D’Eriq",5086,196,28 7/8,9 1/4,NA,NA,QB,NA
"Perry, EJ",6015,211,32 1/4,8 3/4,NA,"10'3""",QB,NA
"Pickett, Kenny",6032,217,30 7/8,8 1/2,33.5,"10'1""",QB,NA
"Purdy, Brock",6005,212,29,9 1/4,27.0,"10'7""",QB,NA
"Ridder, Desmond",6033,211,32 3/4,10,36.0,"10'7""",QB,NA
"Strong, Carson",6033,226,32,9 1/8,NA,NA,QB,NA
"Thompson, Skylar",6017,217,31,8 5/8,31.0,"9'4""",QB,NA
"Willis, Malik",6004,219,31 3/4,9 1/2,NA,NA,QB,NA
"Zappe, Bailey",6004,215,31 1/4,9 3/4,30.0,"9'1""",QB,NA
"Austin, Calvin",5076,170,30,9 1/4,39.0,"11'3""",WO,NA
"Austin Jr., Kevin",6023,200,32 7/8,9,39.0,"11'0""",WO,NA
"Bell, David",6007,212,31 7/8,9 1/4,33.0,"9'10""",WO,NA
"Bolden, Slade",5105,193,29 3/8,9 3/4,32.0,"9'8""",WO,NA
"Burks, Treylon",6020,225,33 1/2,9 7/8,33.0,"10'2""",WO,NA
"Dixon, Dai’Jean",6025,205,32 5/8,9 5/8,34.0,"10'5""",WO,NA
"Dotson, Jahan",5015,178,30 3/4,9 1/2,36.0,"10'1""",WO,NA
"Doubs, Romeo",6017,201,32 1/4,10,NA,NA,WO,NA
"Drummond, Dontario",6017,215,31 1/2,9 1/4,34.0,"10'2""",WO,NA
"Ezukanma, Erik",6017,209,33 1/2,9 3/8,36.5,"10'6""",WO,NA
"Fryfogle, Ty",6011,204,30 3/4,9 3/4,39.0,"10'7""",WO,NA
"Gray, Danny",5117,186,31 7/8,9 5/8,34.0,"10'6""",WO,NA
"Johnson, Josh",5104,183,31 7/8,8 5/8,NA,NA,WO,NA
"Johnson III, Johnny",5117,197,30 1/2,9 3/4,32.0,"10'1""",WO,NA
"Jones, Velus",5116,204,30 7/8,9 3/4,33.0,"10'1""",WO,NA
"London, Drake",6037,219,33,9 3/8,NA,NA,WO,NA
"Melton, Bo",5110,189,31 1/4,9,38.0,"10'1""",WO,NA
"Metchie, John",5112,187,30 5/8,9 1/4,NA,NA,WO,NA
"Moore, Skyy",5095,195,31,10 1/4,34.5,"10'5""",WO,NA
"Nailor, Jalen",5112,186,30 1/4,9 1/8,38.0,"10'8""",WO,NA
"Olave, Chris",6003,187,31 1/8,9 1/2,32.0,"10'4""",WO,NA
"Philips, Kyle",5112,189,29 5/8,8 5/8,33.5,"10'4""",WO,NA
"Pickens, George",6032,195,32 3/8,8 3/4,33.0,"10'5""",WO,NA
"Pierce, Alec",6031,211,33,9,40.5,"10'9""",WO,NA
"Polk, Makai",6031,195,32 1/4,9 1/2,31.0,"9'11""",WO,NA
"Rambo, Charleston",6005,177,32,9 3/4,33.5,"9'10""",WO,NA
"Roberson Jr., Reggie",5110,192,32 5/8,9 1/2,29.0,"9'6""",WO,NA
"Robinson, Wan’Dale",5080,178,27 5/8,9,34.5,"9'10""",WO,NA
"Ross, Justyn",6035,205,32 1/8,9 5/8,NA,NA,WO,NA
"Sanders, Braylon",6001,194,31 1/2,10,34.5,"10'1""",WO,NA
"Shakir, Khalil",5117,196,29,9 1/2,34.5,"10'4""",WO,NA
"Thornton, Tyquan",6023,181,33 1/4,8 1/4,36.5,"10'10""",WO,NA
"Tolbert, Jalen",6011,194,32 1/4,10,36.0,"10'3""",WO,NA
"Turner, Tré",6013,184,30 3/4,8 1/2,30.0,"9'5""",WO,NA
"Watson, Christian",6041,208,32 1/2,10 1/8,38.5,"11'4""",WO,NA
"Weston, Isaiah",6034,214,32 1/2,9 1/2,40.0,"11'3""",WO,NA
"Williams, Devon",6050,210,34 1/8,9 7/8,33.0,"11'1""",WO,NA
"Williams, Jameson",6014,179,32 1/8,9 1/4,NA,NA,WO,NA
"Wilson, Garrett",5116,183,32,9 7/8,34.0,"10'3""",WO,NA
"Woods, Mike",6011,204,33,9 5/8,36.0,"10'5""",WO,NA
"Allgeier, Tyler",5106,224,31 1/2,9 5/8,33.0,"10'0""",RB,NA
"Badie, Tyler",5080,197,29 3/8,9 1/8,33.5,"10'1""",RB,NA
"Bell, Greg",5104,201,30 7/8,9 3/8,31.0,"10'0""",RB,NA
"Borghi, Max",5093,210,29 5/8,9 1/8,NA,NA,RB,NA
"Brooks, Kennedy",5105,209,30 1/4,7 5/8,31.0,"10'0""",RB,NA
"Brown, Leddie",6001,213,31 3/8,9 3/4,30.0,"9'10""",RB,NA
"Chandler, Ty",5112,204,32 1/8,9,31.0,"10'1""",RB,NA
"Conner, Snoop",5101,222,30 1/4,9 1/4,29.5,"9'10""",RB,NA
"Cook, James",5110,199,30 3/4,9 3/8,33.0,"10'4""",RB,NA
"Corbin, Jashaun",5111,202,31 1/2,9 1/2,NA,NA,RB,NA
"Davis-Price, Ty",6003,211,30 3/4,9 1/4,30.0,"9'9""",RB,NA
"Ealy, Jerrion",5081,189,29 1/8,8 1/2,34.5,"10'8""",RB,NA
"Ebner, Trestan",5106,206,29 3/4,8 1/2,30.0,NA,RB,NA
"Ford, Jerome",5104,210,30 5/8,9 1/8,31.0,"9'10""",RB,NA
"Goodson, Tyler",5090,197,29 1/2,9,36.5,"10'3""",RB,NA
"Hall, Breece",5112,217,31 1/4,9 3/4,40.0,"10'6""",RB,NA
"Harris, Kevin",5097,221,31 1/4,9 1/4,38.5,"10'6""",RB,NA
"Haskins, Hassan",6016,228,31 3/4,9 1/4,NA,NA,RB,NA
"Ingram, Keaontay",5116,221,31 1/2,9,34.5,"10'2""",RB,NA
"Knight, Bam",5107,209,30 1/2,9 1/4,31.0,"9'6""",RB,NA
"McCormick, Sincere",5081,205,29 7/8,9 1/8,33.5,"9'8""",RB,NA
"Pacheco, Isaih",5103,216,30 1/2,9 1/4,33.0,"9'11""",RB,NA
"Pierce, Dameon",5095,218,30 3/4,9 3/8,34.5,"9'11""",RB,NA
"Price, D’vonte",6013,210,31 1/2,9 3/8,34.0,"9'11""",RB,NA
"Rivers, Ronnie",5074,195,28,8 1/2,36.5,"9'11""",RB,NA
"Robinson, Brian",6015,225,31 7/8,9 3/4,30.0,"9'11""",RB,NA
"Smith, Abram",5115,213,30 1/4,8 1/4,NA,NA,RB,NA
"Spiller, Isaiah",6003,217,31 3/4,8 5/8,NA,"9'6""",RB,NA
"Strong, Pierre",5113,207,31 7/8,9 1/4,36.0,"10'4""",RB,NA
"Verdell, CJ",5076,194,29 1/4,9 1/2,29.5,"9'10""",RB,NA
"Walker III, Kenny",5092,211,30 3/8,9 1/2,34.0,"10'2""",RB,NA
"Warren, Jaylen",5080,204,29 7/8,9 1/4,31.5,"9'11""",RB,NA
"White, Rachaad",6003,214,31 1/4,9 3/4,38.0,"10'5""",RB,NA
"White, Zamir",5116,214,31 1/2,8 1/2,33.5,"10'8""",RB,NA
"White, ZaQuandre",6001,206,30 3/4,9,NA,NA,RB,NA
"Williams, Kyren",5092,194,28 5/8,9,32.0,"9'8""",RB,NA
"Allen, Austin",6075,253,33 5/8,9 1/2,34.0,"10'1""",TE,NA
"Allen, Chase",6060,251,34 1/8,9 5/8,33.5,"9'9""",TE,NA
"Bellinger, Daniel",6047,253,32 1/2,10 1/8,34.5,"10'5""",TE,NA
"Calcattera, Grant",6037,241,33 1/4,10,NA,NA,TE,NA
"Dulcich, Greg",6040,243,33 3/8,9 7/8,34.0,"10'2""",TE,NA
"Ferguson, Jake",6047,250,32 5/8,9 1/2,31.5,"9'10""",TE,NA
"Hall, Jeremiah",6014,239,31 5/8,10 1/2,29.0,"9'3""",TE,NA
"Hendershot, Peyton",6041,250,32 5/8,9,32.5,"9'9""",TE,NA
"Heyward, Connor",5111,233,31 7/8,9 1/2,32.5,NA,TE,NA
"Hodges, Curtis",6076,257,34 1/2,9 5/8,34.5,"9'9""",TE,NA
"Kolar, Charlie",6064,252,34 1/2,10,NA,NA,TE,NA
"Likely, Isaiah",6044,245,31 7/8,10,36.0,NA,TE,NA
"McBride, Trey",6035,246,32 1/2,10 1/8,33.0,"9'9""",TE,NA
"Mitchell, James",6040,249,32 7/8,9 3/4,NA,NA,TE,NA
"Okonkwo, Chig",6024,238,32 3/4,9 3/4,35.5,NA,TE,NA
"Otton, Cade",6050,247,32 3/4,9 1/2,NA,NA,TE,NA
"Quitoriano, Teagan",6056,256,33 1/2,9 1/4,NA,NA,TE,NA
"Ruckert, Jeremy",6054,252,32 5/8,10 1/8,NA,NA,TE,NA
"Turner, Cole",6064,249,33,9 3/4,27.0,"10'0""",TE,NA
"Woods, Jelani",6071,253,34 1/2,9 1/2,NA,NA,TE,NA
"Wydermyer, Jalen",6037,255,33 1/8,9 3/4,NA,NA,TE,NA
"Andries, Blaise",6062,308,33 7/8,9 7/8,NA,"8'10""",OL,NA
"Brown, Ben",6051,312,34 3/8,10 1/4,NA,NA,OL,NA
"Bruss, Logan",6050,309,33 1/8,10 3/4,NA,"9'4""",OL,NA
"Burford, Spencer",6041,304,34 3/4,9 1/2,27.5,"8'9""",OL,NA
"Carter, Ja’Tyre",6033,311,33 5/8,10 1/4,30.0,"9'0""",OL,NA
"Cross, Charles",6046,307,34 1/2,10 3/4,26.0,"9'4""",OL,NA
"Cunningham, Myron",6052,320,34 1/2,10 3/8,20.0,"8'2""",OL,NA
"Deaton, Dawson",6054,306,32 7/8,9 5/8,29.0,"9'0""",OL,NA
"Deculus, Austin",6050,321,34 3/8,9 1/4,28.5,"9'1""",OL,NA
"Diesch, Kellen",6071,301,32 1/4,9 1/2,32.5,"9'2""",OL,NA
"Dunkle, Bill",6047,328,33 5/8,10 1/4,26.0,"7'11""",OL,NA
"Ekwonu, Ickey",6040,310,34,10 1/4,29.0,"9'0""",OL,NA
"Eze, Obinna",6064,321,36 1/8,9 7/8,27.5,"8'8""",OL,NA
"Ezeudu, Joshua",6042,308,34,9 1/2,29.0,"8'9""",OL,NA
"Faalele, Daniel",6080,384,35 1/8,11,NA,NA,OL,NA
"Fortner, Luke",6041,307,33 1/8,10,24.0,"8'6""",OL,NA
"Goedeke, Luke",6050,312,32 1/4,9 3/4,NA,NA,OL,NA
"Green, Kenyon",6037,323,34 1/8,10 3/8,26.0,"8'6""",OL,NA
"Hayes, Marquis",6047,318,34 7/8,8 7/8,23.5,"8'6""",OL,NA
"Hines, Chasen",6026,327,33 7/8,9 7/8,30.5,"9'0""",OL,NA
"Ingram, Ed",6032,307,33 5/8,10,28.5,"8'6""",OL,NA
"Johnson, Zion",6025,312,34,10 5/8,32.0,"9'4""",OL,NA
"Jones, Braxton",6052,310,35 3/8,10 1/4,25.5,"9'0""",OL,NA
"Jurgens, Cam",6027,303,33 3/8,10,NA,"8'9""",OL,NA
"Kinnard, Darian",6053,322,35,11 1/4,25.0,"8'3""",OL,NA
"Linderbaum, Tyler",6021,296,31 1/8,10,NA,NA,OL,NA
"Lindstrom, Alec",6033,296,32 5/8,9 1/4,29.0,"9'3""",OL,NA
"Lowe, Vederian",6045,314,35 3/8,10 3/8,25.5,"8'3""",OL,NA
"Lucas, Abraham",6063,315,33 7/8,10 1/2,NA,"8'11""",OL,NA
"Mays, Cade",6046,311,34 1/8,10,26.0,"8'6""",OL,NA
"McKethan, Marcus",6064,340,35 1/2,10 1/2,27.5,"9'2""",OL,NA
"Mitchell, Max",6062,307,33 1/2,10,25.0,"8'10""",OL,NA
"Munford Jr., Thayer",6056,328,35 1/8,10 1/8,22.0,"8'8""",OL,NA
"Neal, Evan",6074,337,34,10 1/8,NA,NA,OL,NA
"Parham, Dylan",6025,311,33 1/8,10 1/4,26.5,"9'0""",OL,NA
"Paul, Chris",6037,323,33 5/8,9 3/8,27.0,"9'1""",OL,NA
"Penning, Trevor",6071,325,34 1/4,10 1/8,28.0,"9'3""",OL,NA
"Petit-Frere, Nick",6051,316,33 5/8,10 3/4,24.5,"8'7""",OL,NA
"Raimann, Bernhard",6061,303,32 7/8,10 1/4,30.5,"9'9""",OL,NA
"Rhyan, Sean",6045,321,32 3/8,11 1/8,33.5,"9'2""",OL,NA
"Robinson, Tyrese",6027,317,33 1/8,9 3/4,22.5,"8'4""",OL,NA
"Rosenthal, Dare",6066,290,33 1/2,9,NA,NA,Ol,NA
"Rupcich, Andrew",6060,318,32 7/8,9 1/2,27.5,"9'0""",OL,NA
"Salyer, Jamaree",6030,321,33 5/8,10,NA,NA,OL,NA
"Shaffer, Justin",6037,314,33 1/4,10,25.5,"8'11""",OL,NA
"Smith, Lecitus",6032,314,31 7/8,9 5/8,NA,"8'3""",OL,NA
"Smith, Tyler",6045,324,34,10 3/4,27.5,"8'9""",OL,NA
"Strange, Cole",6047,307,33,10 1/8,28.0,"10'0""",OL,NA
"Stueber, Andrew",6065,325,34 1/8,10,NA,"8'5""",OL,NA
"Tenuta, Luke",6080,319,32 7/8,10 1/8,26.0,"8'8""",OL,NA
"Thomas, Zach",6047,308,33 7/8,10 1/4,22.5,"8'11""",OL,NA
"Tom, Zach",6042,304,33 1/4,10 3/8,33.0,"9'10""",OL,NA
"Volson, Cordell",6061,315,33 7/8,10 1/2,25.0,"8'8""",OL,NA
"Waletzko, Matt",6075,312,36 1/8,10 1/4,30.0,"9'5""",OL,NA
"Walker, Rasheed",6055,313,33 5/8,10 5/8,NA,NA,OL,NA
"Wattenberg, Luke",6040,299,34 1/8,9 3/8,29.5,"9'5""",OL,NA
"West, Dohnovan",6032,296,33,9 1/2,28.0,"9'4""",OL,NA
"Zakelj, Nick",6061,316,32 1/2,9 7/8,28.5,"9'2""",OL,NA
"Bonitto, Nik",6030,248,32 1/2,9 3/8,35.5,"10'0""",DL,NA
"Butler, Matthew",6037,297,33 1/2,9 1/4,32.0,"9'4""",DL,NA
"Carter, Zach",6042,282,33 1/2,10 1/4,27.5,"9'2""",DL,NA
"Davidson, DJ",6033,327,33,10 1/8,28.0,NA,DL,NA
"Davis, Jordan",6063,341,34,10 3/4,32.0,"10'3""",DL,NA
"Davis, Kalia",6010,302,33 5/8,9 1/2,NA,NA,DL,NA
"Elliss, Noah",6042,346,32 1/4,10 3/8,NA,NA,DL,NA
"Farrell, Neil",6041,330,32 1/4,10 1/8,21.5,NA,DL,NA
"Ford, Jonathan",6051,333,32 3/4,9 1/4,29.0,"8'6""",DL,NA
"Garrett, Haskell",6021,300,31 5/8,9 7/8,24.0,NA,DL,NA
"Hall, Logan",6061,283,32 3/4,9 5/8,30.0,NA,DL,NA
"Hinton, Chris",6035,305,32 3/8,10 1/2,31.5,"8'10""",DL,NA
"Jackson, Jordan",6044,294,33 3/4,9 3/8,NA,NA,DL,NA
"Jones, Travis",6043,325,34 1/4,10 1/4,28.5,"9'2""",DL,NA
"Leal, DeMarvin",6037,283,33 1/4,9 1/2,27.5,"8'10""",DL,NA
"Mathis, Phidarian",6042,310,34 5/8,10 3/8,23.5,"9'1""",DL,NA
"McCall, Marquan",6025,342,33 1/4,11,NA,NA,DL,NA
"Ogbonnia, Otito",6036,324,34 3/8,10,NA,NA,DL,NA
"Peevy, Jayden",6053,308,35 1/2,10 1/2,27.0,"8'4""",DL,NA
"Ridgeway, John",6051,321,33 3/8,10,NA,"8'5""",DL,NA
"Uwazurike, Eyioma",6061,316,35 1/8,10 1/8,33.0,"8'11""",DL,NA
"Winfrey, Perrion",6035,290,35 1/4,10 1/4,NA,NA,DL,NA
