#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
OL,"Whitehair, Cody",6036,301,32 3/8,10 1/8,"25.5""","9'2""",OL,75.75,,,25.5,110
OL,"Young, Avery",6045,328,33 3/4,10 1/2,NA,NA,OL,76.625,,,NA,NA
DL,"Abdesmad, Mehdi",6062,284,33 3/8,9 3/4,"29.5""","9'0""",DL,78.25,,,29.5,108
DL,"Bailey, Sterling",6040,285,33 3/8,10 1/4,"30""","9'3""",DL,76,,,30,111
DL,"Bean, Jimmy",6050,264,33 1/2,9 3/4,NA,NA,DL,77,,,NA,NA
DL,"Billings, Andrew",6005,311,33,10,"27.5""","9'5""",DL,72.625,,,27.5,113
DL,"Blair, Ronald",6021,284,34,10 1/4,"30""","9'5""",DL,74.125,,,30,113
DL,"Bosa, Joey",6052,269,33 3/8,10 1/4,"32""",10',DL,77.25,,,32,120
DL,"Buckner, Deforest",6070,291,34 3/8,11 3/4,"32""","9'8""",DL,79,,,32,116
DL,"Bullard, Jonathan",6035,285,33 5/8,10,"32""","9'8""",DL,75.625,,,32,116
DL,"Butler, Vernon",6040,323,35 1/8,10 3/4,"29.5""","8'8""",DL,76,,,29.5,104
DL,"Calhoun, Shalique",6043,251,34 1/4,9 7/8,"35""","9'7""",DL,76.375,,,35,115
DL,"Clark, Kenny",6025,314,32 1/8,10 1/2,"28.5""","8'6""",DL,74.625,,,28.5,102
DL,"Collins, Maliek",6017,311,33 1/2,9 1/8,"29.5""","9'1""",DL,73.875,,,29.5,109
DL,"Correa, Kamalei",6025,243,31 5/8,9 3/8,"33""","9'0""",DL,74.625,,,33,108
DL,"Cowser, James",6031,248,32 7/8,10 1/4,"31.5""","9'3""",DL,75.125,,,31.5,111
DL,"Day, Sheldon",6005,293,32 5/8,9 5/8,"30""","8'6""",DL,72.625,,,30,102
DL,"Dodd, Kevin",6050,277,34,10,NA,NA,DL,77,,,NA,NA
DL,"Fanaika, Jason",6016,271,32 5/8,9 7/8,"35.5""","9'5""",DL,73.75,,,35.5,113
DL,"Gotsis, Adam",6044,287,34 1/8,10 3/4,NA,NA,DL,76.5,,,NA,NA
DL,"Hargrave, Javon",6013,309,32,9 5/8,"34.5""","9'1""",DL,73.375,,,34.5,109
DL,"Heath, Joel",6052,293,34 1/2,10 1/2,"33""","9'5""",DL,77.25,,,33,113
DL,"Henry, Willie",6026,303,33 3/8,10 7/8,"30.5""","9'2""",DL,74.75,,,30.5,110
DL,"Ioannidis, Matt",6034,299,32 3/8,10 1/8,"28""","9'0""",DL,75.5,,,28,108
DL,"Jackson, Branden",6037,273,33 3/8,10 1/4,"31.5""","9'5""",DL,75.875,,,31.5,113
DL,"Jefferson, Quinton",6037,291,33 3/8,8 7/8,"29""",NA,DL,75.875,,,29,NA
DL,"Johnson, Austin",6043,314,32 3/4,9 7/8,"26""","8'3""",DL,76.375,,,26,99
DL,"Jones, Chris",6056,310,34 1/2,10 3/4,"24.5""","8'10""",DL,77.75,,,24.5,106
DL,"Judon, Matt",6030,275,33 7/8,9 1/2,"35""","9'1""",DL,75,,,35,109
DL,"Kamalu, Ufomba",6051,295,35,10,"25""","8'10""",DL,77.125,,,25,106
DL,"Kaufusi, Bronson",6064,285,34 1/2,9 3/4,"30""","9'3""",DL,78.5,,,30,111
DL,"Latham, Darius",6042,311,34 3/4,10,"29""","8'4""",DL,76.25,,,29,100
DL,"Lawrence-Stample, Nile",6010,320,32 3/4,9 7/8,NA,NA,DL,73,,,NA,NA
DL,"Lawson, Shaq",6025,269,32 3/4,10,"33""",10',DL,74.625,,,33,120
DL,"Lowry, Dean",6053,296,31,9 3/8,"32.5""","9'6""",DL,77.375,,,32.5,114
DL,"Maddy, Luther",6000,287,33 1/4,9,NA,NA,DL,72,,,NA,NA
DL,"Mayes, Chris",6031,338,34,9,"23.5""","8'8""",DL,75.125,,,23.5,104
DL,"McCallister, Alex",6061,239,36,9 3/8,"34.5""","10'8""",DL,78.125,,,34.5,128
DL,"Nassib, Carl",6067,277,34 1/2,10 3/8,"28.5""","9'6""",DL,78.875,,,28.5,114
DL,"Newberry, Giorgio",6054,285,34,9 1/2,"30""","9'6""",DL,77.5,,,30,114
DL,"Ngakoue, Yannick",6020,252,32 1/2,9 1/2,"34.5""","9'10""",DL,74,,,34.5,118
DL,"Nicholas, Dadi",6027,235,34 3/4,10 3/8,"41""","9'8""",DL,74.875,,,41,116
DL,"Nkemdiche, Robert",6034,294,33 7/8,10 3/8,"35""","9'8""",DL,75.5,,,35,116
DL,"Oakman, Shawn",6075,287,35 3/4,10 5/8,"32""","10'3""",DL,79.625,,,32,123
DL,"Ochi, Victor",6011,246,33 3/4,10 1/8,"32""","9'11""",DL,73.125,,,32,119
DL,"Ogbah, Emmanuel",6042,273,35 1/2,10,"35.5""","10'1""",DL,76.25,,,35.5,121
DL,"Okwara, Romeo",6045,265,34 1/8,10 1/8,"33""",10',DL,76.625,,,33,120
