#,Name,Height,Weight,Arm,Hand,Vertical,Broad,Position_Group,Converted_Height,Converted_Arm,Converted_Hand,Converted_Vertical,Converted_Broad
QB,"Rush, Cooper",6025,228,32 3/8,9 1/8,"27""","8'9""",QB,74.625,,,27,105
QB,"Russell, Seth",6030,213,32 1/4,9 5/8,NA,NA,QB,75,,,NA,NA
QB,"Trubisky, Mitch",6021,222,32,9 1/2,"27.5""","9'8""",QB,74.125,,,27.5,116
QB,"Watson, Deshaun",6024,221,33,9 3/4,"32.5""","9'11""",QB,74.5,,,32.5,119
QB,"Webb, Davis",6045,229,33 1/8,9 1/4,"33""","9'10""",QB,76.625,,,33,118
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Hi,NA,6026,224,32 1/8,9 5/8,"31""","9'2""",NA,74.75,,,31,110
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Re,NA,NA,NA,NA,NA,"40""","10'8""",NA,NA,,,40,128
RB,"Carson, Christopher",5113,218,33 1/5,9 5/8,"37""","10'10""",RB,71.375,,,37,130
RB,"Clement, Corey",5101,220,30 1/2,9 3/4,"28.5""","9'7""",RB,70.125,,,28.5,115
RB,"Cohen, Tarik",5064,179,29 3/4,10 1/8,"31.5""","9'10""",RB,66.5,,,31.5,118
RB,"Conner, James",6014,233,31 1/4,9 7/8,"29""","9'5""",RB,73.5,,,29,113
RB,"Cook, Dalvin",5103,210,32 3/8,9 1/4,"30.5""","9'8""",RB,70.375,,,30.5,116
RB,"Davis, Justin",6010,208,31,9 5/8,NA,NA,RB,73,,,NA,NA
RB,"Dayes, Matthew",5090,205,30,10 1/2,"28""","9'1""",RB,69,,,28,109
RB,"Foreman, D'onta",6000,233,31 3/8,10 1/8,NA,NA,RB,72,,,NA,NA
RB,"Fournette, Leonard",6004,240,31 5/8,9 1/4,"28.5""",NA,RB,72.5,,,28.5,NA
RB,"Gallman, Wayne",6004,215,32 5/8,9 1/8,"29.5""",10',RB,72.5,,,29.5,120
RB,"Henderson, De'Angelo",5074,208,29,9 1/2,"34""",10',RB,67.5,,,34,120
RB,"Hill, Brian",6010,219,31 3/8,8 7/8,"34""","10'5""",RB,73,,,34,125
RB,"Hood, Elijah",6000,232,30 3/8,9 3/8,NA,NA,RB,72,,,NA,NA
RB,"Hunt, Kareem",5104,216,31 3/8,9 5/8,"36.5""","9'11""",RB,70.5,,,36.5,119
RB,"Jones, Aaron",5094,208,32 1/2,9 1/2,"37.5""","10'7""",RB,69.5,,,37.5,127
RB,"Kamara, Alvin",5102,214,32 3/4,9 1/4,"39.5""","10'11""",RB,70.25,,,39.5,131
RB,"Logan, T.J.",5090,196,32,9,"33.5""","10'1""",RB,69,,,33.5,121
RB,"Mack, Marlon",5113,213,32,9,"35.5""","10'5""",RB,71.375,,,35.5,125
RB,"McCaffrey, Christian",5112,202,30,9,"37.5""","10'1""",RB,71.25,,,37.5,121
RB,"McGuire, Elijah",5096,214,31,9,"36""",10',RB,69.75,,,36,120
RB,"McNichols, Jeremy",5085,214,31 1/2,10,"35.5""","10'1""",RB,68.625,,,35.5,121
RB,"Ogunbowale, Dare",5106,213,31 3/8,9 1/8,"35""",10',RB,70.75,,,35,120
RB,"Perine, Samaje",5105,233,30 3/8,10,"33""","9'8""",RB,70.625,,,33,116
RB,"Pumphery, Donnell",5082,176,29,8 1/2,"33.5""","9'9""",RB,68.25,,,33.5,117
RB,"Redding, Devine",5082,205,29 1/4,9 5/8,"30.5""","9'8""",RB,68.25,,,30.5,116
RB,"Rogers, Sam (FB)",5102,231,30 1/4,9 3/4,"32""","9'6""",RB,70.25,,,32,114
RB,"Shell, Rushel",5100,227,30,9 5/8,"32.5""",NA,RB,70,,,32.5,NA
RB,"Smith, De'Veon",5110,223,29 1/2,9,"29""","9'0""",RB,71,,,29,108
RB,"Stevenson, Freddie (FB)",6000,234,32 3/4,9 5/8,"28""","9'3""",RB,72,,,28,111
RB,"Thomas, Jahad",5093,190,30 1/8,9,"32""","9'8""",RB,69.375,,,32,116
RB,"Williams, Jamaal",6000,212,31 1/4,10,"30""","10'3""",RB,72,,,30,123
RB,"Williams, Joe",5110,210,30 3/4,9 3/8,"35""","10'5""",RB,71,,,35,125
RB,"Williams, Stanley",5070,190,30,8 5/8,"36""","10'1""",RB,67,,,36,121
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Hi,NA,5105,213.3,"31""",9 1/4,"35.1""","9'11""",NA,70.625,,,35.1,119
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Re,NA,NA,NA,NA,NA,"43""","11'3""",NA,NA,,,43,135
WO,"Adams, Rodney",6012,189,32,9,"29.5""","10'5""",WR,73.25,,,29.5,125
WO,"Adeboyejo, Quincy",6025,197,31 3/4,9 3/8,"34.5""","10'3""",WR,74.625,,,34.5,123
WO,"Bolden, Victor",5083,178,31 1/8,9,"32""","9'9""",WR,68.375,,,32,117
WO,"Bourne, Kendrick",6011,203,32 1/2,9 1/8,"34""","10'5""",WR,73.125,,,34,125
WO,"Brown, Noah",6020,222,31 3/4,9 1/8,NA,NA,WR,74,,,NA,NA
WO,"Brown, Billy",6036,255,33,10 3/8,"29""","9'10""",WR,75.75,,,29,118
WO,"Cannon, K.D.",5110,182,30 3/4,8 7/8,"37""","9'11""",WR,71,,,37,119
WO,"Chesson, J.D.",6015,204,33 1/4,9 1/8,"35.5""",11',WR,73.625,,,35.5,132
WO,"Coley, Stacey",5117,195,32 1/4,9 3/4,"34""","10'2""",WR,71.875,,,34,122
WO,"Darboh, Amara",6015,214,32 5/8,9 7/8,"36""","10'4""",WR,73.625,,,36,124
WO,"Davis, Corey",6027,209,33,9 1/8,NA,NA,WR,74.875,,,NA,NA
WO,"Davis, Robert",6025,219,33,9 5/8,"41""","11'4""",WR,74.625,,,41,136
WO,"Dupre, Malachi",6024,196,31 1/2,9,"39.5""","11'3""",WR,74.5,,,39.5,135
WO,"Dural, Travin",6006,202,32 1/8,9 1/8,"30.5""","9'8""",WR,72.75,,,30.5,116
WO,"Etta-Tawo, Amba",6012,208,32,91/8,"31""","10'6""",WR,73.25,,,31,126
WO,"Ford, Isaiah",6010,194,32 5/8,9 1/4,"35.5""","10'7""",WR,73,,,35.5,127
WO,"Gibson, Shelton",5106,191,32,8 7/8,"32""","9'10""",WR,70.75,,,32,118
WO,"Godwin, Chris",6010,209,31 5/8,9 1/8,"36""","10'6""",WR,73,,,36,126
WO,"Golladay, Kenneth",6040,218,32,9 3/4,"35.5""",10',WR,76,,,35.5,120
WO,"Hansen, Chad",6017,202,32 1/8,10 1/8,"35""","9'11""",WR,73.875,,,35,119
WO,"Hatcher, Keon",6012,212,32,9 1/2,NA,NA,WR,73.25,,,NA,NA
WO,"Henderson, Carlos",5110,199,31 3/8,9 1/8,"36""","10'11""",WR,71,,,36,131
WO,"Hogan, Krishawn",6030,222,32 1/8,9 7/8,"36.5""","10'4""",WR,75,,,36.5,124
WO,"Hollins, Mack",6040,221,33 1/4,9 3/4,NA,NA,WR,76,,,NA,NA
WO,"Howard, Bug",6041,221,33 1/8,10 3/8,"37.5""","9'11""",WR,76.125,,,37.5,119
WO,"Jones, Zay",6021,201,32 1/2,9,"36.5""","11'1""",WR,74.125,,,36.5,133
WO,"Kupp, Cooper",6015,204,31 1/2,9 1/2,"31""","9'8""",WR,73.625,,,31,116
WO,"Lane, Jerome",6024,226,31 1/2,9 3/4,"35""","10'5""",WR,74.5,,,35,125
WO,"Lucas, Keevan",5093,192,31 7/8,9 7/8,"32.5""","9'11""",WR,69.375,,,32.5,119
WO,"Malone, Josh",6026,208,31 3/8,9 5/8,"30.5""","10'1""",WR,74.75,,,30.5,121
WO,"Marks, Gabe",5110,189,30 3/8,8 3/4,"29""","9'9""",WR,71,,,29,117
WO,"McKenzie, Isaiah",5074,173,28 7/8,8 7/8,"36""","10'3""",WR,67.5,,,36,123
WO,"Morgan, Drew",5117,190,30 3/8,9 1/2,"30""","9'4""",WR,71.875,,,30,112
WO,"Noil, Speedy",5110,199,30,9 1/4,"43.5""","11'1""",WR,71,,,43.5,133
WO,"Pascal, Zach",6015,219,32,10,"36""","10'6""",WR,73.625,,,36,126
WO,"Quick, James",5117,186,30 3/4,9,"31""","9'7""",WR,71.875,,,31,115
WO,"Rector, Michael",6000,193,32 1/2,9 1/4,"36.5""","10'9""",WR,72,,,36.5,129
WO,"Reynolds, Josh",6027,194,31 1/2,9 3/8,"37""","10'4""",WR,74.875,,,37,124
WO,"Robinette, Jalen",6027,220,32 3/8,10 7/8,"31.5""","10'0""",WR,74.875,,,31.5,120
WO,"Rogers, Darreus",6010,216,32,10 1/8,"26.5""","9'4""",WR,73,,,26.5,112
WO,"Ross, Fred",6006,213,31 1/4,9 1/4,"35""","9'5""",WR,72.75,,,35,113
WO,"Ross, John",5103,188,31 1/2,8 3/4,"37""","11'1""",WR,70.375,,,37,133
WO,"Rudolph, Travis",5116,189,31 7/8,9 1/4,"31.5""","9'6""",WR,71.75,,,31.5,114
WO,"Samuel, Curtis",5110,196,31 1/4,9 1/2,"37""","9'11""",WR,71,,,37,119
WO,"Scott, Artavis",5101,193,31 3/8,9 3/8,"31""","9'8""",WR,70.125,,,31,116
WO,"Seals-Jones, Ricky",6045,243,33 1/8,9 5/8,"28""","10'1""",WR,76.625,,,28,121
WO,"Smith-Schuster, JuJu",6013,215,32 7/8,10 1/2,"32.5""","10'0""",WR,73.375,,,32.5,120
WO,"Staples, Jamari",6027,195,33 1/2,9 1/2,"36""","10'10""",WR,74.875,,,36,130
WO,"Stewart, Ardarius",5111,204,32 1/2,9 3/8,"34""","10'4""",WR,71.125,,,34,124
WO,"Switzer, Ryan",5084,181,28,9 1/4,"32""","9'8""",WR,68.5,,,32,116
WO,"Taylor, Taywan",5110,203,32 5/8,9 1/4,"33.5""","11'0""",WR,71,,,33.5,132
WO,"Taylor, Trent",5080,181,28 3/4,8 1/4,"33""","9'9""",WR,68,,,33,117
WO,"Thomas, Noel",6004,205,30,8 3/4,"32.5""","9'10""",WR,72.5,,,32.5,118
WO,"Ward Jr., Greg",5106,186,31 1/8,9 7/8,NA,NA,WR,70.75,,,NA,NA
WO,"Westbrook, Dede",5117,178,30 5/8,9,NA,NA,WR,71.875,,,NA,NA
WO,"Whitfield, Kermit",5076,185,30,8 1/2,"32.5""","10'0""",WR,67.75,,,32.5,120
WO,"Williams, Mike",6035,218,33 3/8,9 3/8,"32.5""","10'1""",WR,75.625,,,32.5,121
WO,"Wilson, Bobo",5092,189,31 3/8,9 3/8,NA,NA,WR,69.25,,,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Hi,NA,6006,201.4,"32""",9 3/8,35.8,"10' 1/2""",NA,72.75,,,35.8,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Re,NA,NA,NA,NA,NA,"45""","11'7""",NA,NA,,,45,139
TE,"Brown, Pharaoh",6060,255,35 5/8,10 3/8,"34""",NA,TE,78,,,34,NA
TE,"Butt, Jake",6054,246,32,10.0,NA,NA,TE,77.5,,,NA,NA
TE,"Carter, Cethan",6032,241,32 3/8,9.0,NA,NA,TE,75.25,,,NA,NA
TE,"Daniels, Darrell",6032,247,34 1/2,10 1/4,"32""","9'8""",TE,75.25,,,32,116
TE,"Engram, Evan",6033,234,33 1/2,10.0,"36""","10'5""",TE,75.375,,,36,125
TE,"Everett, Gerald",6030,239,33,8 1/2,"37.5""","10'6""",TE,75,,,37.5,126
TE,"Hikutini, Cole",6040,247,32 3/4,10.0,NA,NA,TE,76,,,NA,NA
TE,"Hodges, Bucky",6060,257,32 1/2,10 1/8,"39""","11'2""",TE,78,,,39,134
TE,"Howard, O.J.",6056,251,33 3/4,10.0,"30""","10'1""",TE,77.75,,,30,121
TE,"Kittle, George",6036,247,33 1/8,9 1/4,"35""",11',TE,75.75,,,35,132
TE,"Leggett, Jordan",6054,258,33 1/2,10 3/8,"33""","9'6""",TE,77.5,,,33,114
TE,"Njoku, David",6040,246,35 1/4,10.0,"37.5""","11'1""",TE,76,,,37.5,133
TE,"Orndoff, Scott",6047,253,33 1/4,10.0,"27""","9'4""",TE,76.875,,,27,112
TE,"Plinke, Hayden",6042,264,32 1/2,10.0,"28""","9'1""",TE,76.25,,,28,109
TE,"Roberts, Michael",6043,270,33 1/4,11 1/2,"30""",NA,TE,76.375,,,30,NA
TE,"Saubert, Eric",6046,253,33 1/2,10 3/8,"33""","10'1""",TE,76.75,,,33,121
TE,"Shaheen, Adam",6064,278,33 1/2,9 5/8,"32.5""","10'1""",TE,78.5,,,32.5,121
TE,"Smith, Jonnu",6025,248,32 7/8,9 1/4,"38""","10'7""",TE,74.625,,,38,127
TE,"Sprinkle, Jeremy",6047,252,34 1/2,10 3/4,"29""","9'8""",TE,76.875,,,29,116
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Hi,NA,6044,253.2,33 1/8,"10""","33 1/2""","9'7""",NA,76.5,,,NA,115
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Re,NA,NA,NA,NA,NA,"43.5""","10'11""",NA,NA,,,43.5,131
OL,"Asiata, Isaac",6031,335,33 3/4,10 3/8,"25.5""","8'6""",OL,75.125,,,25.5,102
OL,"Austell, Eric",6032,301,32,9,"27.5""","8'11""",OL,75.25,,,27.5,107
OL,"Banner, Zach",6083,353,34 7/8,10 3/4,"23.5""","7'8""",OL,80.375,,,23.5,92
OL,"Bisnowaty, Adam",6055,304,33 7/8,11 3/8,"29.5""","8'0""",OL,77.625,,,29.5,96
OL,"Bolles, Garrett",6050,297,34,9 3/8,"28""","9'7""",OL,77,,,28,115
OL,"Braden, Ben",6064,329,34,9 7/8,"28""","8'6""",OL,78.5,,,28,102
OL,"Brunskill, Daniel",6050,273,33 7/8,9 7/8,"28""","8'10""",OL,77,,,28,106
OL,"Buchanan, Collin",6050,316,32 3/8,10 1/2,"25""","8'1""",OL,77,,,25,97
OL,"Collins, Aviante",6041,295,33 3/8,9 3/4,NA,NA,OL,76.125,,,NA,NA
OL,"Cooper, Ethan",6020,322,32 5/8,10 3/8,"24.5""","8'3""",OL,74,,,24.5,99
OL,"Davenport, Julian",6066,318,36 1/2,10 1/2,"27""","8'10""",OL,78.75,,,27,106
OL,"Dawkins, Dion",6037,314,35,9 7/8,"26""","8'10""",OL,75.875,,,26,106
OL,"Dielman, J.J.",6050,309,32 1/4,"10""",NA,NA,OL,77,,,NA,NA
OL,"Dunker, Jessamen",6042,318,33 1/2,10,"28.5""","9'0""",OL,76.25,,,28.5,108
OL,"Elflein, Pat",6025,303,33 1/4,9 3/4,23.5,"8'3""",OL,74.625,,,23.5,99
OL,"Eluemunor, Jermaine",6037,332,33 1/4,9 1/2,NA,NA,OL,75.875,,,NA,NA
OL,"Feeney, Dan",6037,305,33 3/8,10 1/4,"28""","8'5""",OL,75.875,,,28,101
OL,"Fuller, Kyle",6050,307,34 1/8,10 1/8,"26""","8'0""",OL,77,,,26,96
OL,"Garcia, Antonio",6060,302,33 3/8,9 7/8,"31""","9'0""",OL,78,,,31,108
OL,"Gennesy, Avery",6030,318,33 5/8,9 1/2,"20""","7'7""",OL,75,,,20,91
OL,"Harlow, Sean",6040,303,32,9 1/2,"30.5""","8'9""",OL,76,,,30.5,105
OL,"Holden, Will",6070,311,33 1/4,10 1/8,"28""","9'3""",OL,79,,,28,111
OL,"Isidora, Danny",6030,306,33,9 7/8,"29""","7'10""",OL,75,,,29,94
OL,"Johnson, Dorian",6050,300,35 1/4,10 7/8,"30""","9'6""",OL,77,,,30,114
OL,"Johnson, Roderick",6070,299,36,10 3/4,NA,NA,OL,79,,,NA,NA
OL,"Lamp, Forrest",6035,309,32 1/4,10 5/8,"27.5""","9'3""",OL,75.625,,,27.5,111
OL,"Leamon, Javarius",6070,332,35 1/4,9 5/8,"23.5""",NA,OL,79,,,23.5,NA
OL,"Lee, Cameron",6050,312,33 7/8,10 7/8,"25.5""","8'4""",OL,77,,,25.5,100
OL,"Levin, Corey",6040,307,33 1/2,10 7/8,"26.5""","8'10""",OL,76,,,26.5,106
OL,"Mama, Damien",6030,334,35,11,"24.5""","8'0""",OL,75,,,24.5,96
OL,"McDermott, Conor",6080,307,34 3/4,11,"28.5""","8'9""",OL,80,,,28.5,105
OL,"Morgan, Jordan",6030,309,34 5/8,10,"27""","8'6""",OL,75,,,27,102
OL,"Moton, Taylor",6050,319,34 1/8,10 5/8,"30.5""","9'1""",OL,77,,,30.5,109
OL,"Orlosky, Tyler",6030,298,32 1/4,9 3/4,NA,NA,OL,75,,,NA,NA
OL,"Pocic, Ethan",6060,310,33 1/8,10 1/8,"27""","8'11""",OL,78,,,27,107
OL,"Ramczyk, Ryan",6060,310,33 3/4,10 7/,NA,NA,OL,78,,,NA,NA
OL,"Robinson, Cam",6062,322,35 1/2,10 1/2,"26""","8'10""",OL,78.25,,,26,106
OL,"Roullier, Chase",6040,312,32 1/4,9 1/2,"26.5""","8'1""",OL,76,,,26.5,97
OL,"Senior, Justin",6050,331,34,10 1/4,"23""","8'2""",OL,77,,,23,98
OL,"Sharpe, David",6060,343,35 3/8,10,"20.5""","8'1""",OL,78,,,20.5,97
OL,"Siragusa, Nico",6040,319,33 1/2,10 5/8,"32""","9'2""",OL,76,,,32,110
OL,"Skipper, Dan",6100,309,33 3/8,10 1/2,"26""","8'1""",OL,82,,,26,97
OL,"Tevi, Sam",6050,311,34,10 1/8,"26""","8'11""",OL,77,,,26,107
OL,"Theaker, Nate",6050,315,32 5/8,9 5/8,"27""","8'9""",OL,77,,,27,105
OL,"Toth, Jon",6050,307,33 5/8,10,"25.5""","8'4""",OL,77,,,25.5,100
OL,"Ugokwe, Jerry",6070,321,35 3/8,10 3/8,"26""","8'7""",OL,79,,,26,103
OL,"Wheeler, Chad",6070,306,33 1/8,9 1/2,"20.5""","8'9""",OL,79,,,20.5,105
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Hi,NA,6056,315.1,34 1/8,10 1/8,"28.4""","8'6.5""",NA,77.75,,,28.4,102.5
NA,NA,6040,315.5,33 1/2,"10""","27.9""","8'5""",NA,76,,,27.9,101
NA,NA,6032,302.8,32 3/4,"9 7/8""","28.8""","8'6""",NA,75.25,,,28.8,102
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Re,NA,NA,NA,NA,NA,"35.5""","9'10""",NA,NA,,,35.5,118
DL,"Adams, Montravius",6035,304,32 3/4,9 1/4,"29""","9'0""",DL,75.625,,,29,108
DL,"Allen, Jonathan",6025,286,33 5/8,9 3/8,"30""","9'0""",DL,74.625,,,30,108
DL,"Barnett, Derek",6030,259,32 1/8,10,"31""","9'9""",DL,75,,,31,117
DL,"Basham, Tarell",6036,269,34 1/4,10 1/4,"31.5""","9'11""",DL,75.75,,,31.5,119
DL,"Bower, Tashawn",6046,250,33 3/8,9 7/8,"31.5""","10'1""",DL,76.75,,,31.5,121
DL,"Brantley, Caleb",6025,307,32,9 3/4,"27""","8'9""",DL,74.625,,,27,105
DL,"Brown, Fadol",6036,273,35,10 1/4,"34""","9'7""",DL,75.75,,,34,115
DL,"Carraway, Josh",6030,242,34 1/4,9 1/4,"29.5""","10'0""",DL,75,,,29.5,120
DL,"Charlton, Taco",6055,277,34 1/4,9 3/4,"33""","9'8""",DL,77.625,,,33,116
DL,"Clements, Chunky",6020,301,32 7/8,10 3/8,NA,NA,DL,74,,,NA,NA
DL,"Cox, Bryan",6027,265,33 3/4,9 1/2,"26.5""","9'1""",DL,74.875,,,26.5,109
DL,"Davis, Keionta",6030,271,34 1/8,9 1/2,NA,NA,DL,75,,,NA,NA
DL,"Donahue, Dylan",6025,248,30 1/4,9,"29.5""","9'8""",DL,74.625,,,29.5,116
DL,"Ekanem, Ken",6026,257,32,10 1/2,NA,"9'7""",DL,74.75,,,NA,115
DL,"Garrett, Myles",6044,272,35 1/2,10 1/4,"41""","10'8""",DL,76.5,,,41,128
DL,"Glasgow, Ryan",6027,302,33 3/8,9 5/8,"27.5""","8'9""",DL,74.875,,,27.5,105
DL,"Godchaux, Davon",6033,310,32 3/8,10 1/4,NA,NA,DL,75.375,,,NA,NA
DL,"Hall, Daeshon",6052,266,35 5/8,9 5/8,"36""","10'3""",DL,77.25,,,36,123
DL,"Harris, Charles",6026,253,32 3/8,9 5/8,"32""","9'1""",DL,74.75,,,32,109
DL,"Hendrickson, Trey",6040,266,32,9 7/8,"33.5""","10'2""",DL,76,,,33.5,122
DL,"Hester, Treyvon",6020,300,32,9 3/4,NA,NA,DL,74,,,NA,NA
DL,"Johnson, Jaleel",6025,316,33 1/4,9 5/8,"28""","8'4""",DL,74.625,,,28,100
DL,"Jones, DJ",6005,319,32 1/2,10 1/4,"28.5""","9'0""",DL,72.625,,,28.5,108
DL,"Jones, Jarron",6056,316,35 1/2,10 1/2,"20.5""",NA,DL,77.75,,,20.5,NA
DL,"Jones, Nazair",6051,304,34 5/8,10 7/8,"24.5""","8'5""",DL,77.125,,,24.5,101
DL,"Kpassagnon, Tanoh",6066,289,35 5/8,10 5/8,"30""","10'4""",DL,78.75,,,30,124
DL,"Langi, Harvey",6017,251,32 7/8,9 1/8,"33""","9'10""",DL,73.875,,,33,118
DL,"Lawson, Carl",6016,261,31 1/2,10 3/8,"33""","9'6""",DL,73.75,,,33,114
DL,"Ledbetter, Jeremiah",6031,280,34 1/4,10,"32.5""","9'5""",DL,75.125,,,32.5,113
DL,"McDowell, Malik",6062,295,34 3/4,10 1/2,"28.5""","9'4""",DL,78.25,,,28.5,112
DL,"McKinley, Takkarist",6020,250,34 3/4,9 3/4,"33""","10'2""",DL,74,,,33,122
DL,"Moss, Avery",6033,264,34 1/2,10 3/8,"32.5""","9'6""",DL,75.375,,,32.5,114
DL,"Muhammad, Al-Quadin",6034,253,33 1/4,9 3/8,"30.5""","9'9""",DL,75.5,,,30.5,117
DL,"Nwachukwu, Noble",6013,268,33 1/8,9,"30.5""","9'2""",DL,73.375,,,30.5,110
DL,"Odenigbo, Ifeadi",6030,258,32 5/8,10 1/2,"31.5""","10'8""",DL,75,,,31.5,128
DL,"Ogunjobi, Larry",6025,305,32 5/8,10,"32""","9'8""",DL,74.625,,,32,116
DL,"Phillips, Carroll",6032,242,33 3/4,9 3/4,"30""","10'3""",DL,75.25,,,30,123
DL,"Price, Ejuan",5113,241,32 3/4,10,"31.5""","8'9""",DL,71.375,,,31.5,105
DL,"Qualls, Elijah",6005,313,30 5/8,9 3/8,"31.5""","8'9""",DL,72.625,,,31.5,105
DL,"Reddick, Haason",6014,237,32 3/4,10 1/8,"36.5""","11'1""",DL,73.5,,,36.5,133
DL,"Rivers, Derek",6035,248,32 3/4,9 3/8,"35""","10'3""",DL,75.625,,,35,123
DL,"Rochell, Isaac",6042,280,32 3/4,9 3/4,"31.5""","9'6""",DL,76.25,,,31.5,114
DL,"Sickels, Garrett",6034,261,32 1/8,9 1/2,"28""","8'9""",DL,75.5,,,28,105
DL,"Smart, Tanzel",6005,296,32 7/8,9 5/8,"27""","8'9""",DL,72.625,,,27,105
DL,"Smoot, Dawuane",6031,264,33 1/4,9 1/4,"29.5""","9'9""",DL,75.125,,,29.5,117
DL,"Taumopenu, Pita",6012,243,32 3/8,9 7/8,"28.5""","9'4""",DL,73.25,,,28.5,112
DL,"Taylor, Vincent",6025,304,34 3/8,10 1/8,"28.5""","9'0""",DL,74.625,,,28.5,108
DL,"Thomas, Solomon",6025,273,33,9 3/8,"35""","10'6""",DL,74.625,,,35,126
DL,"Tomlinson, Dalvin",6027,310,33 1/2,10 1/8,"27""","9'2""",DL,74.875,,,27,110
DL,"Tu'ikolovatu, Stevie",6011,331,33 7/8,10 1/4,"24.5""","7'7""",DL,73.125,,,24.5,91
DL,"Vanderdoes, Eddie",6031,305,33 1/8,10 5/8,"28.5""","9'3""",DL,75.125,,,28.5,111
DL,"Walker, Charles",6017,310,33 3/4,9 5/8,"28""","8'11""",DL,73.875,,,28,107
DL,"Walker, Demarcus",6040,280,33,10 1/2,NA,NA,DL,76,,,NA,NA
DL,"Watkins, Carlos",6030,309,34 5/8,10 3/8,NA,NA,DL,75,,,NA,NA
DL,"Williams, Tim",6027,244,32 3/4,9 1/4,"33.5""","10'4""",DL,74.875,,,33.5,124
DL,"Willis, Jordan",6036,255,33 1/2,9 7/8,"39""","10'5""",DL,75.75,,,39,125
DL,"Wise, Deatrich",6052,274,35 5/8,10 1/2,"33""","10'5""",DL,77.25,,,33,125
DL,"Wormley, Chris",6050,298,34 1/8,10 1/2,NA,NA,DL,77,,,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Hi,NA,6040,267.3,33 1/2,9 7/8,"33.5""","9'7""",NA,76,,,33.5,115
NA,NA,6027,308.4,33 1/4,"10""","29.3""","8'9""",NA,74.875,,,29.3,105
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA
Re,NA,NA,NA,NA,NA,"42""","10'9""",NA,NA,,,42,129
LB,"Anderson, Ryan",6020,253,31 1/2,9 3/8,NA,NA,LB,74,,,NA,NA
LB,"Anzalone, Alex",6027,241,32 1/8,9 1/8,"30.5""","9'8""",LB,74.875,,,30.5,116
LB,"Beckwith, Kendell",6020,243,33,9 1/2,NA,NA,LB,74,,,NA,NA
LB,"Biegel, Vince",6032,246,32 3/8,9 1/8,"33.5""","9'10""",LB,75.25,,,33.5,118
LB,"Boulware, Ben",6000,238,30 1/2,10,"29.5""","9'3""",LB,72,,,29.5,111
LB,"Bowser, Tyus",6025,247,33 1/4,10 1/8,"37.5""","10'7""",LB,74.625,,,37.5,127
LB,"Brown, Blair",5114,238,31 1/4,9 3/8,"37""","10'4""",LB,71.5,,,37,124
LB,"Brown, Jayon",6000,231,31 3/8,9 5/8,"31.5""","10'4""",LB,72,,,31.5,124
LB,"Bullough, Riley",6020,226,31 1/4,9 7/8,"31.5""","9'8""",LB,74,,,31.5,116
LB,"Cunningham, Zach",6034,234,34 3/8,9 1/4,"35""","10'5""",LB,75.5,,,35,125
LB,"Davis, Jarrad",6010,238,33 1/2,9 3/4,NA,NA,LB,73,,,NA,NA
LB,"Davis, Kevin",6017,235,32 3/8,10 1/4,"30.5""","9'2""",LB,73.875,,,30.5,110
LB,"Ellis, Brooks",6017,240,31 3/4,9 3/4,"29.5""","9'7""",LB,73.875,,,29.5,115
LB,"Fields, Devonte",6024,236,32 3/8,9,"34""","10'4""",LB,74.5,,,34,124
LB,"Foster, Reuben",6000,229,32 3/8,10 1/4,NA,NA,LB,72,,,NA,NA
LB,"Gedeon, Ben",6016,244,32 5/8,10,"34.5""","9'11""",LB,73.75,,,34.5,119
LB,"Harris, Connor",5111,242,30 1/8,9 3.8,"33""","9'6""",LB,71.125,,,33,114
LB,"Kelsey, Keith",6003,233,31 3/8,10 1/8,"29.5""","9'4""",LB,72.375,,,29.5,112
LB,"Lee, Marquel",6032,240,32 1/2,9 1/2,"31""","9'10""",LB,75.25,,,31,118
LB,"Mathis, Joe",6020,266,33,9,NA,NA,LB,74,,,NA,NA
LB,"McMillan, Raekwon",6017,240,33,9 3/4,"33""","10'1""",LB,73.875,,,33,121
LB,"Milano, Matt",6004,223,32,9 3/8,"35""","10'6""",LB,72.5,,,35,126
LB,"Nickerson, Hardy",5115,232,32,10,"33""","9'8""",LB,71.625,,,33,116
LB,"Peppers, Jabrill",5107,213,30 3/4,9 5/8,"35.5""","10'8""",LB,70.875,,,35.5,128
LB,"Reeves-Maybin, Jalen",6003,230,32 1/4,9 5/8,NA,NA,LB,72.375,,,NA,NA
